text,top_terms,sgrank_idf,sgrank
"Une instruction ministérielle du 17 avril 1985, complétée par une lettre ministérielle du 12 décembre 1988 et reprise en dernier lieu par la lettre-circulaire ACOSS n°2011‑24 du 21 mars 2011, prévoit que les cadeaux et/ou bons d'achat attribués par les comités d'entreprise (ou les entreprises en l'absence de comité d'entreprise) à un même salarié au cours d'une année à l'occasion d'événements qui ne dépassent pas 5 % du plafond mensuel de la sécurité sociale (166 € en 2018) sont exonérés de cotisations et contributions sociales. Par ailleurs, ces cadeaux et/ou bons d'achat doivent être attribués à l'occasion d'événements précis comme les mariages ou les naissances. Ces décisions ont donné lieu, dans la pratique, à une tolérance administrative, notamment en cas de contrôle par l'Urssaf. Cependant, ces décisions sont dépourvues de toute portée normative, pouvant ainsi mettre en difficulté des entreprises de bonne foi en cas de redressement. Il convient donc de donner un cadre à ces pratiques d'attribution de ces avantages attribués par les comités, voire les employeurs. Cet amendement vise donc à inscrire dans la loi le principe d'exonération de charges sociales sur les prestations des comités d'entreprises comme les cadeaux et bons d'achat, dans l'objectif d'une sécurisation juridique pour les entreprises. Par ailleurs, à l'occasion de l'inscription dans la loi de ce principe, les modalités d'exonération pourraient être mises à jour. En effet, aujourd'hui, ces avantages doivent être attribués à l'occasion d'événements dont certains semblent aujourd'hui dépassés, voire archaïques, comme la Sainte-Catherine ou la Saint-Nicolas. La liste des événements concernés gagnerait donc à être modernisée. Cet amendement n'a pas pour conséquence d'aggraver les dépenses publiques puisqu'il s'agit d'inscrire dans la loi une pratique déjà tolérée par l'Urssaf. En outre, cet amendement poursuit l'objectif de maintenir et encourager les politiques sociales volontaristes portées par les comités d'entreprises, notamment en faveur des familles modestes. I. – Après l'article L. 242‑1 du code de la sécurité sociale, il est inséré un article L. 242‑1-1 A ainsi rédigé : « Art. L. 242‑1-1 A – Les cadeaux et bons d'achat accordés aux salariés par l'employeur sont exonérés des cotisations et contributions prévues par la législation du travail et de la sécurité sociale, dans la limite d'un montant défini par décret. II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","événements
comités
cadeaux
occasion
entreprises","sécurité sociale
entreprises
attribués
cadeaux
comités","sécurité sociale
entreprises
cadeaux
achat
bons"
"Cet amendement a pour objectif de protéger les professionnels libéraux pluriactifs de l'accroissement de charges inutiles que constitue la cotisation obligatoire à la Caisse interprofessionnelle de prévoyance et d'assurance vieillesse (CIPAV), quel que soit le bénéfice dégagé et alors même que l'activité secondaire exercée est temporaire, voire saisonnière. In fine un professionnel libéral qui réaliserait très peu de bénéfices se verrait exonéré du paiement des cotisations à la CIPAV. En effet, depuis l'entrée en vigueur de la loi de financement de la sécurité sociale de 2016, ces professionnels, et particulièrement ceux exerçant une activité saisonnière, ont subi une augmentation très significative de leur cotisation d'assurance vieillesse alors même que nombre d'entre eux ne dégagent que peu de bénéfice sur leur activité temporaire. A titre d'exemple, on peut citer le secteur du tourisme de montagne particulièrement touché par cette mesure, et plus spécifiquement les moniteurs de ski. En effet, ceux-ci doivent obligatoirement être affiliés à la Caisse interprofessionnelle de prévoyance et d'assurance vieillesse (CIPAV), qu'ils exercent cette activité à plein temps ou juste quelques mois dans l'année. La cotisation minimale à la CIPAV s'élève à 461 € pour un bénéfice inférieur à 4 569 €. Pour les moniteurs de ski qui n'exercent cette activité qu'à titre saisonnier, cette cotisation représente un coût non négligeable, alors même qu'ils cotisent déjà par ailleurs à un autre régime de retraite, dans le cadre de leur activité professionnelle principale. De fait, le coût de cette double affiliation n'est pas sans conséquence sur le vivier de moniteurs de ski potentiellement intéressés, certains n'ayant pas les moyens financiers de supporter cette dépense et préférant dès lors se restreindre à leur activité professionnelle principale et ne pas exercer leur monitorat. Pourtant, le renfort de ces moniteurs de ski saisonniers est indispensable, d'une part pour absorber les flux touristiques certains mois de l'année, et d'autre part pour la souplesse d'emploi temporaire qu'ils offrent, utiles quand la demande baisse puisqu'ils peuvent reprendre leur activité principale. I. – L'article L. 642‑3 du code de la sécurité sociale est complété par un alinéa ainsi rédigé : « Sont exonérés du paiement des cotisations mentionnées à l'article L. 642‑1 les professionnels libéraux pluriactifs dont les revenus d'activité sont inférieurs à un seuil défini par décret. » II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","activité
CIPAV
moniteurs
cotisation
bénéfice","professionnels libéraux pluriactifs
assurance vieillesse
activité professionnelle principale
Caisse interprofessionnelle
activité","professionnels libéraux pluriactifs
activité professionnelle principale
assurance vieillesse
Caisse interprofessionnelle
sécurité sociale"
L'objectif de cet amendement est d'évaluer l'impact du PLFSS sur la qualité de vie au travail des professionnels. Une étude d'impact sur la qualité de vie au travail des professionnels de santé est présentée en annexe chaque année au projet de loi de financement de la sécurité sociale.,"vie
impact
qualité
professionnels
annexe","impact
sécurité sociale
qualité
vie
travail","impact
qualité
vie
sécurité sociale
professionnels"
"Dans le cadre du plan « Ma santé 2022 » présenté le 18 septembre 2018, la transformation du système de soins devra poursuivre plusieurs grands objectifs : améliorer la qualité des prises en charge pour tous les patients sur tous les territoires, créer un collectif de soins au service des patients, adapter les métiers et les formations aux enjeux de demain. Dans cette logique, l'organisation des professionnels de santé de ville rénovée et plus collective constitue la condition première pour mettre en place des organisations de soins de proximité, faire travailler ensemble la ville, l'hôpital et le médico-social et ainsi faciliter l'accès aux soins et améliorer leur qualité. L'exercice coordonné doit devenir ainsi le cadre d'exercice de référence pour l'ensemble des professionnels de santé. Cet exercice coordonné signifie qu'à l'échelle d'un territoire l'ensemble des professionnels doivent s'organiser pour garantir à tous les patients l'accès à un médecin traitant, organiser une réponse à la demande de soins non programmés et aux urgences qui relèvent des soins de ville, proposer plus d'actions de prévention, favoriser le maintien à domicile des personnes âgées, mieux coopérer entre professionnels de santé, notamment autour des patients atteints de pathologies chroniques. C'est pourquoi le présent amendement inscrit, parmi les dispositions communes aux différentes conventions, la définition des conditions de modulation de la rémunération des professionnels de santé en fonction de leur participation à un cadre d'exercice coordonné. Toutes ces missions, quand elles s'expriment à l'échelle d'un territoire, ont vocation à être exercées par des communautés professionnelles territoriales de santé (CPTS). L'objectif de déployer ces CPTS à l'échelle nationale, dans le but de couvrir tout le territoire dans un délai de trois ans, implique qu'une négociation soit engagée, dans le mois suivant la promulgation de la loi, par les partenaires conventionnels dans le cadre d'un accord conventionnel interprofessionnel afin de pouvoir créer à cette fin un cadre de financement pérenne. L'amendement inclut donc les CPTS dans le champ des accords-cadres interprofessionnels ainsi que les équipes de soins primaires (ESP) qui en étaient jusqu'à présent absentes.  Un des leviers pour améliorer l'accès aux soins passe par la nécessité de redonner du temps médical aux médecins, afin de leur permettre de se concentrer sur le cœur de leur expertise, la prise en charge médicale des patients. Le recours à des personnels salariés ayant vocation à les assister dans le quotidien de leur exercice, notamment dans la préparation et le suivi de leurs consultations ou dans l'aide au parcours des patients, dans le but d'augmenter le nombre de patients suivis et de raccourcir les délais de rendez-vous dans les spécialités et les territoires où ils sont devenus aujourd'hui trop importants. Les conditions de déploiement et d'accompagnement financier de ce nouveau dispositif susceptible de concerner plusieurs milliers de cabinets médicaux ou de structures de soins seront définies dans les cadres conventionnels correspondant aux différentes structures concernées (cabinets médicaux, maisons et pôles de santé, centres de santé). Le présent amendement prévoit donc que les modalités d'accompagnement et de participation financière au recrutement des assistants médicaux soient désormais prévues dans le cadre conventionnel. La création de ces postes d'assistants médicaux devra contribuer à l'objectif de développement de l'exercice coordonné, ambition majeure du plan « ma santé 2022 ». A cet égard, l'adhésion des médecins, généralistes comme spécialistes, à une structure d'exercice coordonné doit devenir la norme et l'exercice isolé, l'exception. C'est pourquoi le présent amendement prévoit également l'ouverture, dans le mois suivant la promulgation de la loi, d'une négociation avec les médecins portant sur la mise en œuvre de mesures incitatives au déploiement de l'exercice coordonné. Les conditions d'éligibilité au financement de ces assistants médicaux seront triples : exercer en cabinet de groupe, être inscrit dans un exercice coordonné (notamment CPTS), apporter un bénéfice mesurable à la population en termes d'accès aux soins et de qualité des soins, notamment en augmentant le nombre de patients suivis. Cette mesure aura vocation à s'appliquer également aux centres de santé dans le cadre de la procédure de transposition dans l'accord national des centres de santé, des mesures autres que le paiement à l'acte défini dans les conventions monocatégorielles. Enfin, afin de permettre la mise en œuvre rapide des futurs accords conventionnels ainsi conclus, l'amendement prévoit une suspension exceptionnelle de la disposition du code de la sécurité sociale imposant un délai de 6 mois entre l'approbation de toute convention et l'entrée en vigueur de ses effets. I. – Le chapitre 2 du titre 6 du livre 1 du code de la sécurité sociale est ainsi modifié : 1° L'article L. 162‑5 est complété par un 27° ainsi rédigé : « 27° Les conditions et modalités de participation financière au recrutement de personnels salariés intervenant auprès de médecins exerçant dans le cadre d'un exercice coordonné et ayant vocation à les assister dans leur pratique quotidienne et améliorer ainsi l'accès aux soins. » ; 2° L'article L. 162‑14‑1 est ainsi modifié : a) Le I est complété par un 7° ainsi rédigé : « 7° Les conditions de modulation de la rémunération des professionnels de santé en fonction de leur participation à un cadre d'exercice coordonné. » ; b) Le dernier alinéa est ainsi modifié : - À la première phrase, après le mot : « soins », sont insérés les mots : « des communautés professionnelles territoriales de santé, des équipes de soins primaires, » ; - À la deuxième phrase, après le mot : « avec », sont insérés les mots : « des communautés professionnelles territoriales de santé, des équipes de soins primaires, ». II. – Le directeur général de l'Union nationale des caisses d'assurance maladie engage, dans le délai d'un mois à compter de la promulgation de la présente loi, des négociations conventionnelles en vue de déterminer des mesures visant à inciter au développement de l'exercice coordonné et au recrutement de personnels salariés ayant vocation à assister les médecins dans leur pratique quotidienne. III. – Le directeur général de l'Union nationale des caisses d'assurance maladie engage, dans le délai d'un mois à compter de la promulgation de la présente loi, des négociations conventionnelles en vue de déterminer, dans le cadre d'un accord conventionnel interprofessionnel, les mesures visant à accompagner le déploiement sur l'ensemble du territoire des communautés professionnelles territoriales de santé, conformément au II de l'article L. 162‑14‑1 du code de la sécurité sociale. IV. – Le délai d'entrée en vigueur mentionné au premier alinéa de l'article L. 162‑14‑1‑1 du code de la sécurité sociale n'est pas applicable aux mesures conventionnelles prises conformément aux II et III du présent article.","exercice
soins
vocation
santé
CPTS","communautés professionnelles territoriales
exercice coordonné
santé
cadre
soins","communautés professionnelles territoriales
exercice coordonné
santé
cadre
soins"
"Cet amendement propose d'amplifier la portée de l'article 51 de la LFSS 2018 pour le secteur médico-social en étant les dérogations sur deux points : - les règles d'organisation des établissements et services sociaux et médico-sociaux afin de favoriser les innovations organisationnelles et permettre d'expérimenter de nouvelles formes de coopération entre les acteurs sociaux, médico-sociaux et sanitaires au service du parcours de santé et de vie des personnes ; - les modalités de qualification entre actes d'aide et actes de soins dans le cadre d'un accompagnement par un établissement ou service social ou médico-social afin de rompte avec l'étanchéité des missions en particulier à domicile, entre aide à domicile et aide-soignant et nuit à la qualité et à la pertinence de l'accompagnement dans son objectif de préservation ou de renforcement de l'autonomie des personnes, dépendantes d'un tiers pour la réalisation de geste de soins rendus nécessaires du fait d'un handicap ou de l'avancée en âge. Le maintient des ces frontières structurelles et arbitraires est néfaste à l'accompagnement et génère des ruptures graves dans le parcours des personnes. Si les acteurs développent des organisations de coordination pour compenser ce cloisonnement, c'est bien la qualité des soins apportés aux personnes en perte d'autonomie qui en pâtit le plus. En expérimentant de nouvelles répartitions entre actes d'aide et actes de soins en fonction des besoins des personnes elles-mêmes, lors d'un accompagnement par un établissement ou service social ou médico-social, il sera alors possible d'identifier les « transférabilités de compétences », sociales et de soins en fonction des situations. Tel est l'objet de ce présent amendement qui vise à perfectionner l'article 51 de la LFSS 2018 - dont les la possibilité de déroger aux règles de tarification des établissements et services sociaux et médico-sociaux lèvent certaines rigidités financières, mais ne règle pas tous les cloisonnements nuisibles à la pertinence des accompagnements. Après l'alinéa 7, insérer les cinq alinéas suivants : « j) Les articles L. 1111‑6‑1, L. 4311‑1 et L. 4311‑29 en ce qu'ils limitent les possibilités d'organiser des délégations de soins dans le cadre d'une prise en charge par un établissement de santé ou par un établissement ou service social ou médico-social. « 1° bis Le 3° du II est ainsi rédigé : « 3° Aux dispositions suivantes du code de l'action sociale et des familles : a) Les règles de tarification et d'organisation prévues par le code de l'action sociale et des familles applicables aux établissements et services mentionnés à l'article L. 312‑1 du même code ; b) L'article L. 313‑26, afin de redéfinir les modalités de qualification entre actes d'aide et actes de soins lors d'une prise en charge par un établissement ou service social ou médico-social. »","actes
établissement ou service
accompagnement
établissement
aide et actes","service social
services sociaux
médico-social
personnes
amendement","service social
services sociaux
médico-social
personnes
amendement"
"Le volume de médicaments homéopathiques dispensés en officine a diminué de 5.3 % en unités depuis le début de l'année 2018. Ces médicaments sont une alternative thérapeutique aux soins classiques encadrée par des professionnels de santé et sécurisée pour les patients, contrairement à d'autres. Certains services hospitaliers prescrivent des médicaments homéopathiques à des patients exposés au risque iatrogène pour les grossesses, accouchements, allaitements ou soins de support en oncologie. Les pouvoirs publics doivent être en mesure d'envisager l'ensemble des possibilités, en attendant les conclusions de la HAS, quant à la prise en charge de ces médicaments, à savoir l'admission mais aussi la modification du taux de prise en charge de ces médicaments. Après le mot : « lesquelles », rédiger ainsi la fin de l'alinéa 66 : « la prise en charge par l'assurance maladie de ces médicaments homéopathiques ou tout ou partie d'entre eux, peut, le cas échéant, être admise, modifiée ou refusée ».","médicaments
prise
charge
accouchements
allaitements","services hospitaliers prescrivent
médicaments homéopathiques
soins classiques encadrée
médicaments homéopathiques dispensés
médicaments","médicaments homéopathiques
soins classiques
alternative thérapeutique
médicaments
pouvoirs publics"
"L'article 27 de la loi de programmation des finances publiques 2014‑2019 vise à améliorer l'information et le contrôle du Parlement sur l'évolution des dépenses de personnel des établissements de santé. Dans ce cadre, il prévoit que le gouvernement présente annuellement un rapport sur l'évolution des dépenses de personnels des établissements de santé, en détaillant notamment les sous-jacents de cette évolution. Conformément à cet article, cet amendement vise donc d'une part à annexer à la loi de finance de la sécurité sociale le chiffrage des mesures catégorielles relatives aux personnels médical et non médical et d'autre part, à présenter ce chiffrage lors de la consultation des instances nationales de dialogue social. Le chiffrage des mesures relatives au personnel médical et non médical ayant un impact sur l'exercice concerné est annexé chaque année à la loi de financement de la sécurité sociale ou publié, et présenté, lors de la consultation des instances nationales de dialogue social sur ces mesures.","chiffrage
instances
dialogue
évolution
mesures","mesures catégorielles relatives aux personnels médical
sécurité sociale
loi
article
dialogue social","mesures catégorielles relatives aux personnels médical
loi
sécurité sociale
article
évolution"
"La présente proposition de modification législative vise à soumettre pour avis préalable aux fédérations hospitalières publiques et privées, les mesures conventionnelles, qui ont des répercussions significatives sur le pilotage et la gestion des établissements de santé, dans le cadre des concertations précédant le mécanisme d'approbation tacite ou d'opposition expresse du ministre chargé de la Sécurité sociale. La loi du 13 août 2004 confie aux représentants des médecins libéraux et à l'UNCAM le soin de hiérarchiser et de fixer les tarifs des actes médicaux. Les fédérations hospitalières ne sont pas consultées, ni même parfois informées des discussions engagées dans ce cadre alors qu'elles sont directement concernées par les résultats de ces négociations. En effet, elles ont un impact dans la construction du PMSI et sa valorisation dans le cadre de la tarification à l'activité (qui repose sur la classification commune des actes médicaux (CCAM). En outre, la valorisation des actes médicaux a des conséquences directes sur les choix d'exercice des médecins entre une pratique dans le secteur libéral et une pratique à l'hôpital public. Ceci est d'autant plus vrai que la loi HPST du 21 juillet 2009 permet aux médecins libéraux d'être employés dans les établissements publics de santé. Dans ce contexte, il importe que les fédérations hospitalières puissent être concertées en amont de l'élaboration des conventions annexes et avenants conclus entre l'UNCAM et les professionnels de santé. La première phrase de l'article L. 162‑33 du code de la sécurité sociale est complétée par les mots : « et les fédérations nationales représentatives des établissements et services sanitaires et médico-sociaux, publics et privés ».","fédérations
fédérations hospitalières
hospitalières
UNCAM
valorisation","fédérations hospitalières
actes médicaux
médecins libéraux
établissements
santé","fédérations hospitalières
actes médicaux
médecins libéraux
hospitalières publiques
répercussions significatives"
"L'article 27 du PLFSS tend au développement du financement par la qualité. Dans ce cadre, il prévoit la possibilité pour les directeurs généraux d'ARS, à compter de 2020, de sanctionner les établissements « dont les résultats n'atteignent pas pendant trois années consécutives un seuil minimum pour certains des critères liés à la qualité et de la sécurité des soins ». Deux ajouts à cet article sont proposés. Le premier consiste à établir un parallèle avec les prérogatives des directeurs généraux d'ARS en matière de sanctions T2A (art. L. 162‑22‑13 du CSS). Ces dernières ne peuvent, en effet, être valablement notifiées qu'après avis d'une commission régionale de contrôle. Il est proposé un dispositif équivalent pour les futures pénalités pour non-respect des critères de qualité. Le second tend à élever au niveau législatif une disposition figurant à l'article R. 162‑36‑2 du Code de la sécurité sociale. Car, si les autorités ministérielles compétentes ont, en vertu de cet article, jusqu'au 31 décembre de l'année précédant l'année civile considérée pour prendre leur arrêté conjoint, il s'avère qu'en pratique cet arrêté est effectivement pris un an trop tard, en décembre de l'année considérée… Cet état de fait n'est pas digne des ambitions qui sont celles du PLFSS en matière de financement par la qualité ; raison pour laquelle l'exigence de célérité dans la publication des arrêtés ministériels en cause, qui conditionnent la bonne application du dispositif, doit être portée au niveau législatif. I. – Compléter l'alinéa 7 par les deux phrases suivantes : « Le directeur général de l'agence prononce la pénalité après avis d'une commission composée à parité de représentants de l'agence et de représentants des fédérations hospitalières représentatives publiques ou privées. La motivation de la pénalité indique, le cas échéant, les raisons pour lesquelles le directeur général n'a pas suivi l'avis de la commission. » II. – En conséquence, compléter l'alinéa 12 par la phrase suivante : « Cet arrêté est publié avant le 31 décembre de l'année précédant l'année civile considérée »","qualité
année
commission
avis
directeurs","niveau législatif
année civile
année précédant
directeurs généraux
article","niveau législatif
année civile
ministérielles compétentes
année considérée
directeur général"
"Alors que les mesures pénalisant les retraités s'accumulent depuis quelques mois, cet amendement vient leur offrir un avantage qui a été octroyé aux salariés puisque l'employeur doit participer au moins à la moitié du montant des cotisations, le reste étant à la charge du salarié. Ils peuvent déduire cette part de leur revenu imposable en vertu de l'article 83, 1°quater du code général des impôts. Cet amendement est d'autant plus nécessaire que l'adhésion à une mutuelle représente un coût élevé pour les retraités alors qu'elle leur est indispensable à l'âge où les problèmes de santé surviennent plus fréquemment. Il convient donc de permettre aux retraités de déduire de leur revenu imposable, la moitié de leur cotisation à une complémentaire santé. I. – Le 1° quater de l'article 83 du code général des impôts est complété par un alinéa ainsi rédigé : « La moitié des cotisations ou primes versées aux régimes de prévoyance complémentaire obligatoires et collectifs par les retraités, lorsque ces cotisations ou primes financent des garanties portant sur le remboursement ou l'indemnisation de frais occasionnés par une maladie, une maternité ou un accident. » II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la création d'une taxe additionnelle aux droits visés aux articles 575 et 575 A du code général des impôts.","moitié
cotisations ou primes
primes
retraités
cotisations","code général
revenu imposable
prévoyance complémentaire obligatoires
visés aux articles
permettre aux retraités","code général
revenu imposable
coût élevé
complémentaire santé
prévoyance complémentaire obligatoires"
